apiName,packageName,packageVersion,sourceFiles,startLine,replacement,isCompatible,deprecated
System.Web.Optimization.BundleCollection.Add(System.Web.Optimization.Bundle),Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,15,,INCOMPATIBLE,
System.Web.Optimization.BundleCollection.Add(System.Web.Optimization.Bundle),Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,26,,INCOMPATIBLE,
System.Web.Optimization.BundleCollection.Add(System.Web.Optimization.Bundle),Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,34,,INCOMPATIBLE,
System.Web.Optimization.Bundle.Include(params string[]),Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,15,,INCOMPATIBLE,
System.Web.Optimization.Bundle.Include(params string[]),Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,26,,INCOMPATIBLE,
"System.Web.Optimization.Bundle.Include(string, params System.Web.Optimization.IItemTransform[])",Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,34,,INCOMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,3,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\About.aspx.cs,3,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Contact.aspx.cs,3,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Default.aspx.cs,3,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Global.asax.cs,3,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,4,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Master.cs,3,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Mobile.Master.cs,3,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,3,,COMPATIBLE,
Optimization,Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,5,,COMPATIBLE,
Optimization,Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Global.asax.cs,5,,COMPATIBLE,
BundleCollection,Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,13,,INCOMPATIBLE,
ScriptBundle,Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,15,,INCOMPATIBLE,
ScriptBundle,Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,26,,INCOMPATIBLE,
ScriptBundle,Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,34,,INCOMPATIBLE,
EventArgs,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\About.aspx.cs,12,,COMPATIBLE,
EventArgs,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Contact.aspx.cs,12,,COMPATIBLE,
EventArgs,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Default.aspx.cs,12,,COMPATIBLE,
EventArgs,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Global.asax.cs,14,,COMPATIBLE,
EventArgs,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,17,,COMPATIBLE,
EventArgs,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,24,,COMPATIBLE,
EventArgs,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Master.cs,12,,COMPATIBLE,
EventArgs,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Mobile.Master.cs,12,,COMPATIBLE,
EventArgs,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,20,,COMPATIBLE,
System.Web.Routing.RouteCollection.EnableFriendlyUrls(Microsoft.AspNet.FriendlyUrls.FriendlyUrlSettings),Microsoft.AspNet.FriendlyUrls,1.0.2,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\RouteConfig.cs,15,,INCOMPATIBLE,
Routing,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\RouteConfig.cs,4,,COMPATIBLE,
Routing,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Global.asax.cs,6,,COMPATIBLE,
Routing,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,5,,COMPATIBLE,
FriendlyUrls,Microsoft.AspNet.FriendlyUrls,1.0.2,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\RouteConfig.cs,5,,COMPATIBLE,
FriendlyUrls,Microsoft.AspNet.FriendlyUrls,1.0.2,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,8,,COMPATIBLE,
RouteCollection,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\RouteConfig.cs,11,,INCOMPATIBLE,
FriendlyUrlSettings,Microsoft.AspNet.FriendlyUrls,1.0.2,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\RouteConfig.cs,13,,COMPATIBLE,
FriendlyUrlSettings,Microsoft.AspNet.FriendlyUrls,1.0.2,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\RouteConfig.cs,13,,COMPATIBLE,
SessionState,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Global.asax.cs,8,,COMPATIBLE,
System.Collections.Generic.List<T>.Add(T),mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,26,,COMPATIBLE,
System.Guid.NewGuid(),mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,26,,COMPATIBLE,
System.Data.DataColumnCollection.AddRange(System.Data.DataColumn[]),System.Data,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,36,,INCOMPATIBLE,
System.Data.DataRowCollection.Add(params object[]),System.Data,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,40,,COMPATIBLE,
System.DateTime.ToString(string),mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,40,,COMPATIBLE,
System.Data.DataTableCollection.Add(System.Data.DataTable),System.Data,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,45,,COMPATIBLE,
System.Web.UI.WebControls.BaseDataList.DataBind(),System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,47,,INCOMPATIBLE,
int.ToString(),mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,52,,COMPATIBLE,
System.Guid.Parse(string),mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,66,,COMPATIBLE,
"System.Collections.Generic.IEnumerable<TSource>.FirstOrDefault<TSource>(System.Func<TSource, bool>)",System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,67,,COMPATIBLE,
DataTable,System.Data,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,35,,COMPATIBLE,
DataTable,System.Data,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,35,,COMPATIBLE,
DataColumn,System.Data,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,36,,COMPATIBLE,
DataColumn,System.Data,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,36,,COMPATIBLE,
DataColumn,System.Data,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,36,,COMPATIBLE,
DataSet,System.Data,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,44,,COMPATIBLE,
DataSet,System.Data,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,44,,COMPATIBLE,
Button,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,51,,INCOMPATIBLE,
Button,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.designer.cs,42,,INCOMPATIBLE,
DataGridCommandEventArgs,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,62,,INCOMPATIBLE,
Guid,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,66,,COMPATIBLE,
DataGrid,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.designer.cs,24,,INCOMPATIBLE,
TextBox,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.designer.cs,33,,INCOMPATIBLE,
ContentPlaceHolder,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Master.designer.cs,24,,INCOMPATIBLE,
ContentPlaceHolder,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Mobile.Master.designer.cs,22,,INCOMPATIBLE,
ContentPlaceHolder,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Mobile.Master.designer.cs,40,,INCOMPATIBLE,
ContentPlaceHolder,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Mobile.Master.designer.cs,49,,INCOMPATIBLE,
MasterPage,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Mobile.Master.cs,10,,INCOMPATIBLE,
HtmlControls,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Mobile.Master.designer.cs,31,,INCOMPATIBLE,
HtmlForm,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Site.Mobile.Master.designer.cs,31,,INCOMPATIBLE,
Serializable,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\TodoItem.cs,5,,COMPATIBLE,
Microsoft.AspNet.FriendlyUrls.Resolvers.WebFormsFriendlyUrlResolver.IsMobileView(System.Web.HttpContextBase),Microsoft.AspNet.FriendlyUrls,1.0.2,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,23,,INCOMPATIBLE,
"System.Web.UI.Control.GetRouteUrl(string, object)",System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,38,,INCOMPATIBLE,
System.Web.HttpUtility.UrlEncode(string),System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,39,,INCOMPATIBLE,
Resolvers,Microsoft.AspNet.FriendlyUrls,1.0.2,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,8,,COMPATIBLE,
UserControl,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,12,,INCOMPATIBLE,
Boolean,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,23,,COMPATIBLE,
HttpContextWrapper,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,23,,COMPATIBLE,
String,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,30,,COMPATIBLE,
String,mscorlib,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,38,,COMPATIBLE,
RouteBase,System.Web,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\ViewSwitcher.ascx.cs,31,,INCOMPATIBLE,
